Continente y país de residencia;Continente y país de residencia;Continente y país de residencia;Continente y país de residencia;Provincia de destino;Concepto turístico;Periodo;Total
Total;;;;Huesca;Turistas;2025M07;64.325
Total;;;;Huesca;Turistas;2025M06;45.311
Total;;;;Huesca;Turistas;2025M05;41.179
Total;;;;Huesca;Turistas;2025M04;30.100
Total;;;;Huesca;Turistas;2025M03;27.189
Total;;;;Huesca;Turistas;2025M02;24.980
Total;;;;Huesca;Turistas;2025M01;22.582
Total;;;;Huesca;Turistas;2024M12;17.812
Total;;;;Huesca;Turistas;2024M11;19.615
Total;;;;Huesca;Turistas;2024M10;35.407
Total;;;;Huesca;Turistas;2024M09;45.793
Total;;;;Huesca;Turistas;2024M08;70.472
Total;;;;Huesca;Turistas;2024M07;64.756
Total;;;;Huesca;Turistas;2024M06;43.846
Total;;;;Huesca;Turistas;2024M05;47.802
Total;;;;Huesca;Turistas;2024M04;32.250
Total;;;;Huesca;Turistas;2024M03;28.945
Total;;;;Huesca;Turistas;2024M02;25.956
Total;;;;Huesca;Turistas;2024M01;19.943
Total;;;;Huesca;Turistas;2023M12;23.098
Total;;;;Huesca;Turistas;2023M11;21.332
Total;;;;Huesca;Turistas;2023M10;38.778
Total;;;;Huesca;Turistas;2023M09;50.424
Total;;;;Huesca;Turistas;2023M08;90.555
Total;;;;Huesca;Turistas;2023M07;60.027
Total;;;;Huesca;Turistas;2023M06;33.077
Total;;;;Huesca;Turistas;2023M05;42.669
Total;;;;Huesca;Turistas;2023M04;28.412
Total;;;;Huesca;Turistas;2023M03;22.196
Total;;;;Huesca;Turistas;2023M02;22.664
Total;;;;Huesca;Turistas;2023M01;16.326
Total;;;;Huesca;Turistas;2022M12;17.170
Total;;;;Huesca;Turistas;2022M11;20.993
Total;;;;Huesca;Turistas;2022M10;26.492
Total;;;;Huesca;Turistas;2022M09;37.711
Total;;;;Huesca;Turistas;2022M08;48.288
Total;;;;Huesca;Turistas;2022M07;53.794
Total;;;;Huesca;Turistas;2022M06;35.634
Total;;;;Huesca;Turistas;2022M05;29.825
Total;;;;Huesca;Turistas;2022M04;23.004
Total;;;;Huesca;Turistas;2022M03;19.754
Total;;;;Huesca;Turistas;2022M02;18.652
Total;;;;Huesca;Turistas;2022M01;17.257
Total;;;;Huesca;Turistas;2021M12;14.652
Total;;;;Huesca;Turistas;2021M11;20.400
Total;;;;Huesca;Turistas;2021M10;26.869
Total;;;;Huesca;Turistas;2021M09;32.698
Total;;;;Huesca;Turistas;2021M08;56.807
Total;;;;Huesca;Turistas;2021M07;35.977
Total;;;;Huesca;Turistas;2021M06;18.507
Total;;;;Huesca;Turistas;2021M05;13.943
Total;;;;Huesca;Turistas;2021M04;10.618
Total;;;;Huesca;Turistas;2021M03;11.013
Total;;;;Huesca;Turistas;2021M02;9.367
Total;;;;Huesca;Turistas;2021M01;8.505
Total;;;;Huesca;Turistas;2020M12;10.280
Total;;;;Huesca;Turistas;2020M11;8.836
Total;;;;Huesca;Turistas;2020M10;17.896
Total;;;;Huesca;Turistas;2020M09;24.721
Total;;;;Huesca;Turistas;2020M08;47.961
Total;;;;Huesca;Turistas;2020M07;38.224
Total;;;;Huesca;Turistas;2020M06;12.083
Total;;;;Huesca;Turistas;2020M05;6.976
Total;;;;Huesca;Turistas;2020M04;5.147
Total;;;;Huesca;Turistas;2020M03;14.987
Total;;;;Huesca;Turistas;2020M02;22.046
Total;;;;Huesca;Turistas;2020M01;19.075
Total;;;;Huesca;Turistas;2019M12;17.139
Total;;;;Huesca;Turistas;2019M11;16.906
Total;;;;Huesca;Turistas;2019M10;26.705
Total;;;;Huesca;Turistas;2019M09;38.241
Total;;;;Huesca;Turistas;2019M08;72.546
Total;;;;Huesca;Turistas;2019M07;48.979
Total;;;;Jaén;Turistas;2025M12;19.569
Total;;;;Jaén;Turistas;2025M11;19.196
Total;;;;Jaén;Turistas;2025M10;23.594
Total;;;;Jaén;Turistas;2025M09;21.324
Total;;;;Jaén;Turistas;2025M08;27.773
Total;;;;Jaén;Turistas;2025M07;25.162
Total;;;;Jaén;Turistas;2025M06;20.948
Total;;;;Jaén;Turistas;2025M05;23.382
Total;;;;Jaén;Turistas;2025M04;19.963
Total;;;;Jaén;Turistas;2025M03;19.810
Total;;;;Jaén;Turistas;2025M02;17.148
Total;;;;Jaén;Turistas;2025M01;20.420
Total;;;;Jaén;Turistas;2024M12;16.724
Total;;;;Jaén;Turistas;2024M11;16.529
Total;;;;Jaén;Turistas;2024M10;20.976
Total;;;;Jaén;Turistas;2024M09;18.501
Total;;;;Jaén;Turistas;2024M08;23.013
Total;;;;Jaén;Turistas;2024M07;23.084
Total;;;;Jaén;Turistas;2024M06;18.403
Total;;;;Jaén;Turistas;2024M05;18.855
Total;;;;Jaén;Turistas;2024M04;18.963
Total;;;;Jaén;Turistas;2024M03;17.212
Total;;;;Jaén;Turistas;2024M02;15.635
Total;;;;Jaén;Turistas;2024M01;12.276
Total;;;;Jaén;Turistas;2023M12;16.256
Total;;;;Jaén;Turistas;2023M11;14.763
Total;;;;Jaén;Turistas;2023M10;18.697
Total;;;;Jaén;Turistas;2023M09;17.157
Total;;;;Jaén;Turistas;2023M08;23.870
Total;;;;Jaén;Turistas;2023M07;18.846
Total;;;;Jaén;Turistas;2023M06;13.973
Total;;;;Jaén;Turistas;2023M05;15.869
Total;;;;Jaén;Turistas;2023M04;14.719
Total;;;;Jaén;Turistas;2023M03;12.464
Total;;;;Jaén;Turistas;2023M02;10.800
Total;;;;Jaén;Turistas;2023M01;11.454
Total;;;;Jaén;Turistas;2022M12;13.737
Total;;;;Jaén;Turistas;2022M11;12.375
Total;;;;Jaén;Turistas;2022M10;14.848
Total;;;;Jaén;Turistas;2022M09;14.861
Total;;;;Jaén;Turistas;2022M08;20.231
Total;;;;Jaén;Turistas;2022M07;17.679
Total;;;;Jaén;Turistas;2022M06;12.872
Total;;;;Jaén;Turistas;2022M05;15.080
Total;;;;Jaén;Turistas;2022M04;13.648
Total;;;;Jaén;Turistas;2022M03;12.166
Total;;;;Jaén;Turistas;2022M02;10.003
Total;;;;Jaén;Turistas;2022M01;13.121
Total;;;;Jaén;Turistas;2021M12;12.045
Total;;;;Jaén;Turistas;2021M11;12.305
Total;;;;Jaén;Turistas;2021M10;12.560
Total;;;;Jaén;Turistas;2021M09;11.570
Total;;;;Jaén;Turistas;2021M08;13.910
Total;;;;Jaén;Turistas;2021M07;11.408
Total;;;;Jaén;Turistas;2021M06;9.481
Total;;;;Jaén;Turistas;2021M05;8.902
Total;;;;Jaén;Turistas;2021M04;7.911
Total;;;;Jaén;Turistas;2021M03;8.183
Total;;;;Jaén;Turistas;2021M02;8.165
Total;;;;Jaén;Turistas;2021M01;8.972
Total;;;;Jaén;Turistas;2020M12;11.518
Total;;;;Jaén;Turistas;2020M11;9.126
Total;;;;Jaén;Turistas;2020M10;10.862
Total;;;;Jaén;Turistas;2020M09;9.905
Total;;;;Jaén;Turistas;2020M08;12.237
Total;;;;Jaén;Turistas;2020M07;10.903
Total;;;;Jaén;Turistas;2020M06;7.761
Total;;;;Jaén;Turistas;2020M05;5.825
Total;;;;Jaén;Turistas;2020M04;5.182
Total;;;;Jaén;Turistas;2020M03;11.296
Total;;;;Jaén;Turistas;2020M02;12.229
Total;;;;Jaén;Turistas;2020M01;16.162
Total;;;;Jaén;Turistas;2019M12;14.972
Total;;;;Jaén;Turistas;2019M11;13.013
Total;;;;Jaén;Turistas;2019M10;13.737
Total;;;;Jaén;Turistas;2019M09;14.191
Total;;;;Jaén;Turistas;2019M08;22.125
Total;;;;Jaén;Turistas;2019M07;15.399
Total;;;;León;Turistas;2025M12;19.106
Total;;;;León;Turistas;2025M11;16.180
Total;;;;León;Turistas;2025M10;24.364
Total;;;;León;Turistas;2025M09;28.078
Total;;;;León;Turistas;2025M08;44.241
Total;;;;León;Turistas;2025M07;30.477
Total;;;;León;Turistas;2025M06;24.688
Total;;;;León;Turistas;2025M05;26.760
Total;;;;León;Turistas;2025M04;21.926
Total;;;;León;Turistas;2025M03;18.565
Total;;;;León;Turistas;2025M02;15.038
Total;;;;León;Turistas;2025M01;17.842
Total;;;;León;Turistas;2024M12;15.665
Total;;;;León;Turistas;2024M11;14.599
Total;;;;León;Turistas;2024M10;22.244
Total;;;;León;Turistas;2024M09;24.776
Total;;;;León;Turistas;2024M08;40.167
Total;;;;León;Turistas;2024M07;30.152
Total;;;;León;Turistas;2024M06;24.569
Total;;;;León;Turistas;2024M05;23.504
Total;;;;León;Turistas;2024M04;20.919
Total;;;;León;Turistas;2024M03;17.299
Total;;;;León;Turistas;2024M02;13.712
Total;;;;León;Turistas;2024M01;14.849
Total;;;;León;Turistas;2023M12;17.825
Total;;;;León;Turistas;2023M11;14.209
Total;;;;León;Turistas;2023M10;22.926
Total;;;;León;Turistas;2023M09;24.665
Total;;;;León;Turistas;2023M08;40.912
Total;;;;León;Turistas;2023M07;24.088
Total;;;;León;Turistas;2023M06;19.759
Total;;;;León;Turistas;2023M05;20.199
Total;;;;León;Turistas;2023M04;18.869
Total;;;;León;Turistas;2023M03;12.934
Total;;;;León;Turistas;2023M02;11.423
Total;;;;León;Turistas;2023M01;11.887
Total;;;;León;Turistas;2022M12;11.123
Total;;;;León;Turistas;2022M11;12.256
Total;;;;León;Turistas;2022M10;15.974
Total;;;;León;Turistas;2022M09;18.935
Total;;;;León;Turistas;2022M08;31.718
Total;;;;León;Turistas;2022M07;21.734
Total;;;;León;Turistas;2022M06;17.157
Total;;;;León;Turistas;2022M05;16.974
Total;;;;León;Turistas;2022M04;15.618
Total;;;;León;Turistas;2022M03;12.101
Total;;;;León;Turistas;2022M02;9.698
Total;;;;León;Turistas;2022M01;12.918
Total;;;;León;Turistas;2021M12;12.012
Total;;;;León;Turistas;2021M11;12.192
Total;;;;León;Turistas;2021M10;14.829
Total;;;;León;Turistas;2021M09;16.826
Total;;;;León;Turistas;2021M08;29.718
Total;;;;León;Turistas;2021M07;16.560
Total;;;;León;Turistas;2021M06;11.668
Total;;;;León;Turistas;2021M05;9.092
Total;;;;León;Turistas;2021M04;7.942
Total;;;;León;Turistas;2021M03;7.830
Total;;;;León;Turistas;2021M02;6.620
Total;;;;León;Turistas;2021M01;8.218
Total;;;;León;Turistas;2020M12;9.732
Total;;;;León;Turistas;2020M11;8.164
Total;;;;León;Turistas;2020M10;10.369
Total;;;;León;Turistas;2020M09;12.186
Total;;;;León;Turistas;2020M08;22.215
Total;;;;León;Turistas;2020M07;13.778
Total;;;;León;Turistas;2020M06;7.481
Total;;;;León;Turistas;2020M05;5.526
Total;;;;León;Turistas;2020M04;5.029
Total;;;;León;Turistas;2020M03;10.491
Total;;;;León;Turistas;2020M02;12.098
Total;;;;León;Turistas;2020M01;13.914
Total;;;;León;Turistas;2019M12;13.183
Total;;;;León;Turistas;2019M11;13.048
Total;;;;León;Turistas;2019M10;15.939
Total;;;;León;Turistas;2019M09;19.498
Total;;;;León;Turistas;2019M08;35.357
Total;;;;León;Turistas;2019M07;19.423
Total;;;;Lleida;Turistas;2025M12;69.948
Total;;;;Lleida;Turistas;2025M11;70.369
Total;;;;Lleida;Turistas;2025M10;81.799
Total;;;;Lleida;Turistas;2025M09;89.817
Total;;;;Lleida;Turistas;2025M08;111.263
Total;;;;Lleida;Turistas;2025M07;106.523
Total;;;;Lleida;Turistas;2025M06;87.299
Total;;;;Lleida;Turistas;2025M05;80.903
Total;;;;Lleida;Turistas;2025M04;70.447
Total;;;;Lleida;Turistas;2025M03;73.993
Total;;;;Lleida;Turistas;2025M02;71.351
Total;;;;Lleida;Turistas;2025M01;69.600
Total;;;;Lleida;Turistas;2024M12;66.855
Total;;;;Lleida;Turistas;2024M11;52.212
Total;;;;Lleida;Turistas;2024M10;81.036
Total;;;;Lleida;Turistas;2024M09;80.879
Total;;;;Lleida;Turistas;2024M08;86.996
Total;;;;Lleida;Turistas;2024M07;91.459
Total;;;;Lleida;Turistas;2024M06;73.736
Total;;;;Lleida;Turistas;2024M05;72.233
Total;;;;Lleida;Turistas;2024M04;65.333
Total;;;;Lleida;Turistas;2024M03;71.817
Total;;;;Lleida;Turistas;2024M02;73.369
Total;;;;Lleida;Turistas;2024M01;51.743
Total;;;;Lleida;Turistas;2023M12;63.734
Total;;;;Lleida;Turistas;2023M11;51.502
Total;;;;Lleida;Turistas;2023M10;71.199
Total;;;;Lleida;Turistas;2023M09;76.366
Total;;;;Lleida;Turistas;2023M08;83.610
Total;;;;Lleida;Turistas;2023M07;80.937
Total;;;;Lleida;Turistas;2023M06;51.095
Total;;;;Lleida;Turistas;2023M05;50.300
Total;;;;Lleida;Turistas;2023M04;44.259
Total;;;;Lleida;Turistas;2023M03;48.838
Total;;;;Lleida;Turistas;2023M02;48.821
Total;;;;Lleida;Turistas;2023M01;39.438
Total;;;;Lleida;Turistas;2022M12;36.858
Total;;;;Lleida;Turistas;2022M11;34.637
Total;;;;Lleida;Turistas;2022M10;39.947
Total;;;;Lleida;Turistas;2022M09;48.728
Total;;;;Lleida;Turistas;2022M08;49.488
Total;;;;Lleida;Turistas;2022M07;59.144
Total;;;;Lleida;Turistas;2022M06;45.198
Total;;;;Lleida;Turistas;2022M05;41.573
Total;;;;Lleida;Turistas;2022M04;39.410
Total;;;;Lleida;Turistas;2022M03;45.123
Total;;;;Lleida;Turistas;2022M02;43.351
Total;;;;Lleida;Turistas;2022M01;39.375
Total;;;;Lleida;Turistas;2021M12;35.849
Total;;;;Lleida;Turistas;2021M11;35.802
Total;;;;Lleida;Turistas;2021M10;42.335
Total;;;;Lleida;Turistas;2021M09;43.367
Total;;;;Lleida;Turistas;2021M08;52.953
Total;;;;Lleida;Turistas;2021M07;48.797
Total;;;;Lleida;Turistas;2021M06;34.915
Total;;;;Lleida;Turistas;2021M05;30.503
Total;;;;Lleida;Turistas;2021M04;26.678
Total;;;;Lleida;Turistas;2021M03;24.215
Total;;;;Lleida;Turistas;2021M02;19.216
Total;;;;Lleida;Turistas;2021M01;19.162
Total;;;;Lleida;Turistas;2020M12;23.653
Total;;;;Lleida;Turistas;2020M11;19.000
Total;;;;Lleida;Turistas;2020M10;33.001
Total;;;;Lleida;Turistas;2020M09;35.894
Total;;;;Lleida;Turistas;2020M08;44.856
Total;;;;Lleida;Turistas;2020M07;41.212
Total;;;;Lleida;Turistas;2020M06;21.547
Total;;;;Lleida;Turistas;2020M05;13.042
Total;;;;Lleida;Turistas;2020M04;10.243
Total;;;;Lleida;Turistas;2020M03;38.686
Total;;;;Lleida;Turistas;2020M02;55.226
Total;;;;Lleida;Turistas;2020M01;46.744
Total;;;;Lleida;Turistas;2019M12;39.212
Total;;;;Lleida;Turistas;2019M11;36.529
Total;;;;Lleida;Turistas;2019M10;40.673
Total;;;;Lleida;Turistas;2019M09;52.741
Total;;;;Lleida;Turistas;2019M08;63.925
Total;;;;Lleida;Turistas;2019M07;50.777
Total;;;;Lugo;Turistas;2025M12;12.150
Total;;;;Lugo;Turistas;2025M11;10.703
Total;;;;Lugo;Turistas;2025M10;20.883
Total;;;;Lugo;Turistas;2025M09;26.106
Total;;;;Lugo;Turistas;2025M08;29.268
Total;;;;Lugo;Turistas;2025M07;22.637
Total;;;;Lugo;Turistas;2025M06;21.400
Total;;;;Lugo;Turistas;2025M05;26.117
Total;;;;Lugo;Turistas;2025M04;18.216
Total;;;;Lugo;Turistas;2025M03;13.986
Total;;;;Lugo;Turistas;2025M02;10.288
Total;;;;Lugo;Turistas;2025M01;11.498
Total;;;;Lugo;Turistas;2024M12;10.100
Total;;;;Lugo;Turistas;2024M11;9.746
Total;;;;Lugo;Turistas;2024M10;18.503
Total;;;;Lugo;Turistas;2024M09;20.141
Total;;;;Lugo;Turistas;2024M08;22.439
Total;;;;Lugo;Turistas;2024M07;18.792
Total;;;;Lugo;Turistas;2024M06;18.919
Total;;;;Lugo;Turistas;2024M05;18.873
Total;;;;Lugo;Turistas;2024M04;14.453
Total;;;;Lugo;Turistas;2024M03;12.037
Total;;;;Lugo;Turistas;2024M02;9.843
Total;;;;Lugo;Turistas;2024M01;8.194
Total;;;;Lugo;Turistas;2023M12;10.855
Total;;;;Lugo;Turistas;2023M11;9.601
Total;;;;Lugo;Turistas;2023M10;17.675
Total;;;;Lugo;Turistas;2023M09;18.917
Total;;;;Lugo;Turistas;2023M08;23.825
Total;;;;Lugo;Turistas;2023M07;17.248
Total;;;;Lugo;Turistas;2023M06;15.027
Total;;;;Lugo;Turistas;2023M05;15.389
Total;;;;Lugo;Turistas;2023M04;12.260
Total;;;;Lugo;Turistas;2023M03;8.479
Total;;;;Lugo;Turistas;2023M02;7.098
Total;;;;Lugo;Turistas;2023M01;7.037
Total;;;;Lugo;Turistas;2022M12;7.658
Total;;;;Lugo;Turistas;2022M11;8.508
Total;;;;Lugo;Turistas;2022M10;13.543
Total;;;;Lugo;Turistas;2022M09;15.522
Total;;;;Lugo;Turistas;2022M08;18.585
Total;;;;Lugo;Turistas;2022M07;14.948
Total;;;;Lugo;Turistas;2022M06;13.988
Total;;;;Lugo;Turistas;2022M05;13.511
Total;;;;Lugo;Turistas;2022M04;10.750
Total;;;;Lugo;Turistas;2022M03;8.305
Total;;;;Lugo;Turistas;2022M02;6.270
Total;;;;Lugo;Turistas;2022M01;7.760
Total;;;;Lugo;Turistas;2021M12;7.745
Total;;;;Lugo;Turistas;2021M11;7.928
Total;;;;Lugo;Turistas;2021M10;10.494
Total;;;;Lugo;Turistas;2021M09;11.396
Total;;;;Lugo;Turistas;2021M08;14.555
Total;;;;Lugo;Turistas;2021M07;10.021
Total;;;;Lugo;Turistas;2021M06;7.275
Total;;;;Lugo;Turistas;2021M05;6.022
Total;;;;Lugo;Turistas;2021M04;5.645
Total;;;;Lugo;Turistas;2021M03;5.447
Total;;;;Lugo;Turistas;2021M02;4.454
Total;;;;Lugo;Turistas;2021M01;4.935
Total;;;;Lugo;Turistas;2020M12;6.554
Total;;;;Lugo;Turistas;2020M11;5.844
Total;;;;Lugo;Turistas;2020M10;7.621
Total;;;;Lugo;Turistas;2020M09;7.990
Total;;;;Lugo;Turistas;2020M08;12.088
Total;;;;Lugo;Turistas;2020M07;8.156
Total;;;;Lugo;Turistas;2020M06;5.243
Total;;;;Lugo;Turistas;2020M05;4.053
Total;;;;Lugo;Turistas;2020M04;3.542
Total;;;;Lugo;Turistas;2020M03;7.342
Total;;;;Lugo;Turistas;2020M02;7.559
Total;;;;Lugo;Turistas;2020M01;8.407
Total;;;;Lugo;Turistas;2019M12;8.166
Total;;;;Lugo;Turistas;2019M11;8.112
Total;;;;Lugo;Turistas;2019M10;12.865
Total;;;;Lugo;Turistas;2019M09;16.499
Total;;;;Lugo;Turistas;2019M08;21.073
Total;;;;Lugo;Turistas;2019M07;14.452
Total;;;;Madrid;Turistas;2025M12;694.410
Total;;;;Madrid;Turistas;2025M11;772.668
Total;;;;Madrid;Turistas;2025M10;814.977
Total;;;;Madrid;Turistas;2025M09;699.296
Total;;;;Madrid;Turistas;2025M08;628.829
Total;;;;Madrid;Turistas;2025M07;736.892
Total;;;;Madrid;Turistas;2025M06;756.566
Total;;;;Madrid;Turistas;2025M05;795.206
Total;;;;Madrid;Turistas;2025M04;750.297
Total;;;;Madrid;Turistas;2025M03;697.500
Total;;;;Madrid;Turistas;2025M02;581.015
Total;;;;Madrid;Turistas;2025M01;633.801
Total;;;;Madrid;Turistas;2024M12;686.816
Total;;;;Madrid;Turistas;2024M11;733.507
Total;;;;Madrid;Turistas;2024M10;833.018
Total;;;;Madrid;Turistas;2024M09;766.010
Total;;;;Madrid;Turistas;2024M08;631.523
Total;;;;Madrid;Turistas;2024M07;770.655
Total;;;;Madrid;Turistas;2024M06;791.508
Total;;;;Madrid;Turistas;2024M05;799.199
Total;;;;Madrid;Turistas;2024M04;728.870
Total;;;;Madrid;Turistas;2024M03;704.113
Total;;;;Madrid;Turistas;2024M02;566.419
Total;;;;Madrid;Turistas;2024M01;607.038
Total;;;;Madrid;Turistas;2023M12;608.805
Total;;;;Madrid;Turistas;2023M11;610.855
Total;;;;Madrid;Turistas;2023M10;757.454
Total;;;;Madrid;Turistas;2023M09;683.907
Total;;;;Madrid;Turistas;2023M08;583.072
Total;;;;Madrid;Turistas;2023M07;663.257
Total;;;;Madrid;Turistas;2023M06;618.147
Total;;;;Madrid;Turistas;2023M05;631.076
Total;;;;Madrid;Turistas;2023M04;621.867
Total;;;;Madrid;Turistas;2023M03;566.664
Total;;;;Madrid;Turistas;2023M02;421.130
Total;;;;Madrid;Turistas;2023M01;478.392
Total;;;;Madrid;Turistas;2022M12;482.767
Total;;;;Madrid;Turistas;2022M11;552.153
Total;;;;Madrid;Turistas;2022M10;656.013
Total;;;;Madrid;Turistas;2022M09;593.942
Total;;;;Madrid;Turistas;2022M08;394.164
Total;;;;Madrid;Turistas;2022M07;491.096
Total;;;;Madrid;Turistas;2022M06;560.794
Total;;;;Madrid;Turistas;2022M05;555.142
Total;;;;Madrid;Turistas;2022M04;488.554
Total;;;;Madrid;Turistas;2022M03;401.801
Total;;;;Madrid;Turistas;2022M02;289.511
Total;;;;Madrid;Turistas;2022M01;313.835
Total;;;;Madrid;Turistas;2021M12;342.454
Total;;;;Madrid;Turistas;2021M11;395.511
Total;;;;Madrid;Turistas;2021M10;388.394
Total;;;;Madrid;Turistas;2021M09;317.571
Total;;;;Madrid;Turistas;2021M08;275.636
Total;;;;Madrid;Turistas;2021M07;286.081
Total;;;;Madrid;Turistas;2021M06;234.583
Total;;;;Madrid;Turistas;2021M05;201.918
Total;;;;Madrid;Turistas;2021M04;173.263
Total;;;;Madrid;Turistas;2021M03;176.469
Total;;;;Madrid;Turistas;2021M02;141.434
Total;;;;Madrid;Turistas;2021M01;151.418
Total;;;;Madrid;Turistas;2020M12;185.790
Total;;;;Madrid;Turistas;2020M11;151.823
Total;;;;Madrid;Turistas;2020M10;164.158
Total;;;;Madrid;Turistas;2020M09;167.015
Total;;;;Madrid;Turistas;2020M08;172.524
Total;;;;Madrid;Turistas;2020M07;183.515
Total;;;;Madrid;Turistas;2020M06;122.046
Total;;;;Madrid;Turistas;2020M05;93.542
Total;;;;Madrid;Turistas;2020M04;82.328
Total;;;;Madrid;Turistas;2020M03;324.401
Total;;;;Madrid;Turistas;2020M02;490.564
Total;;;;Madrid;Turistas;2020M01;530.136
Total;;;;Madrid;Turistas;2019M12;512.793
Total;;;;Madrid;Turistas;2019M11;569.773
Total;;;;Madrid;Turistas;2019M10;660.919
Total;;;;Madrid;Turistas;2019M09;564.737
Total;;;;Madrid;Turistas;2019M08;491.196
Total;;;;Madrid;Turistas;2019M07;547.099
Total;;;;Málaga;Turistas;2025M12;385.277
Total;;;;Málaga;Turistas;2025M11;523.281
Total;;;;Málaga;Turistas;2025M10;750.398
Total;;;;Málaga;Turistas;2025M09;765.836
Total;;;;Málaga;Turistas;2025M08;933.967
Total;;;;Málaga;Turistas;2025M07;858.917
Total;;;;Málaga;Turistas;2025M06;741.686
Total;;;;Málaga;Turistas;2025M05;741.824
Total;;;;Málaga;Turistas;2025M04;659.615
Total;;;;Málaga;Turistas;2025M03;530.396
Total;;;;Málaga;Turistas;2025M02;389.981
Total;;;;Málaga;Turistas;2025M01;374.388
Total;;;;Málaga;Turistas;2024M12;312.081
Total;;;;Málaga;Turistas;2024M11;437.834
Total;;;;Málaga;Turistas;2024M10;699.621
Total;;;;Málaga;Turistas;2024M09;722.885
Total;;;;Málaga;Turistas;2024M08;872.114
Total;;;;Málaga;Turistas;2024M07;780.801
Total;;;;Málaga;Turistas;2024M06;693.456
Total;;;;Málaga;Turistas;2024M05;681.449
Total;;;;Málaga;Turistas;2024M04;615.920
Total;;;;Málaga;Turistas;2024M03;464.589
Total;;;;Málaga;Turistas;2024M02;361.523
Total;;;;Málaga;Turistas;2024M01;348.577
Total;;;;Málaga;Turistas;2023M12;309.368
Total;;;;Málaga;Turistas;2023M11;380.772
Total;;;;Málaga;Turistas;2023M10;633.083
Total;;;;Málaga;Turistas;2023M09;661.965
Total;;;;Málaga;Turistas;2023M08;804.174
Total;;;;Málaga;Turistas;2023M07;734.976
Total;;;;Málaga;Turistas;2023M06;598.973
Total;;;;Málaga;Turistas;2023M05;601.448
Total;;;;Málaga;Turistas;2023M04;533.241
Total;;;;Málaga;Turistas;2023M03;369.618
Total;;;;Málaga;Turistas;2023M02;270.944
Total;;;;Málaga;Turistas;2023M01;298.136
Total;;;;Málaga;Turistas;2022M12;238.270
Total;;;;Málaga;Turistas;2022M11;327.067
Total;;;;Málaga;Turistas;2022M10;527.396
Total;;;;Málaga;Turistas;2022M09;541.327
Total;;;;Málaga;Turistas;2022M08;651.885
Total;;;;Málaga;Turistas;2022M07;615.556
Total;;;;Málaga;Turistas;2022M06;525.340
Total;;;;Málaga;Turistas;2022M05;517.793
Total;;;;Málaga;Turistas;2022M04;455.400
Total;;;;Málaga;Turistas;2022M03;291.667
Total;;;;Málaga;Turistas;2022M02;202.703
Total;;;;Málaga;Turistas;2022M01;192.987
Total;;;;Málaga;Turistas;2021M12;157.170
Total;;;;Málaga;Turistas;2021M11;260.744
Total;;;;Málaga;Turistas;2021M10;363.822
Total;;;;Málaga;Turistas;2021M09;350.167
Total;;;;Málaga;Turistas;2021M08;415.113
Total;;;;Málaga;Turistas;2021M07;294.743
Total;;;;Málaga;Turistas;2021M06;157.051
Total;;;;Málaga;Turistas;2021M05;109.638
Total;;;;Málaga;Turistas;2021M04;80.145
Total;;;;Málaga;Turistas;2021M03;58.401
Total;;;;Málaga;Turistas;2021M02;46.421
Total;;;;Málaga;Turistas;2021M01;63.074
Total;;;;Málaga;Turistas;2020M12;68.525
Total;;;;Málaga;Turistas;2020M11;70.833
Total;;;;Málaga;Turistas;2020M10;104.236
Total;;;;Málaga;Turistas;2020M09;114.543
Total;;;;Málaga;Turistas;2020M08;234.030
Total;;;;Málaga;Turistas;2020M07;168.042
Total;;;;Málaga;Turistas;2020M06;43.195
Total;;;;Málaga;Turistas;2020M05;34.591
Total;;;;Málaga;Turistas;2020M04;34.183
Total;;;;Málaga;Turistas;2020M03;225.302
Total;;;;Málaga;Turistas;2020M02;281.598
Total;;;;Málaga;Turistas;2020M01;297.618
Total;;;;Málaga;Turistas;2019M12;241.912
Total;;;;Málaga;Turistas;2019M11;332.446
Total;;;;Málaga;Turistas;2019M10;578.813
Total;;;;Málaga;Turistas;2019M09;640.949
Total;;;;Málaga;Turistas;2019M08;784.675
Total;;;;Málaga;Turistas;2019M07;709.546
Total;;;;Melilla;Turistas;2025M12;12.347
Total;;;;Melilla;Turistas;2025M11;11.643
Total;;;;Melilla;Turistas;2025M10;14.604
Total;;;;Melilla;Turistas;2025M09;18.038
Total;;;;Melilla;Turistas;2025M08;31.691
Total;;;;Melilla;Turistas;2025M07;17.454
Total;;;;Melilla;Turistas;2025M06;16.086
Total;;;;Melilla;Turistas;2025M05;14.038
Total;;;;Melilla;Turistas;2025M04;12.570
Total;;;;Melilla;Turistas;2025M03;10.554
Total;;;;Melilla;Turistas;2025M02;10.088
Total;;;;Melilla;Turistas;2025M01;14.131
Total;;;;Melilla;Turistas;2024M12;12.255
Total;;;;Melilla;Turistas;2024M11;12.266
Total;;;;Melilla;Turistas;2024M10;14.632
Total;;;;Melilla;Turistas;2024M09;20.564
Total;;;;Melilla;Turistas;2024M08;44.142
Total;;;;Melilla;Turistas;2024M07;23.893
Total;;;;Melilla;Turistas;2024M06;16.393
Total;;;;Melilla;Turistas;2024M05;16.403
Total;;;;Melilla;Turistas;2024M04;15.199
Total;;;;Melilla;Turistas;2024M03;16.000
Total;;;;Melilla;Turistas;2024M02;12.090
Total;;;;Melilla;Turistas;2024M01;17.551
Total;;;;Melilla;Turistas;2023M12;15.051
