Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Viviendas y plazas;Periodo;Total
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2023M08;20.314
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2023M02;19.490
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2022M08;18.726
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2022M02;17.673
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2021M08;18.230
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2021M02;17.393
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;;Viviendas turísticas;2020M08;17.519
Total Nacional;06 Cantabria;;;Viviendas turísticas;2025M11;6.229
Total Nacional;06 Cantabria;;;Viviendas turísticas;2025M05;7.698
Total Nacional;06 Cantabria;;;Viviendas turísticas;2024M11;7.496
Total Nacional;06 Cantabria;;;Viviendas turísticas;2024M08;8.678
Total Nacional;06 Cantabria;;;Viviendas turísticas;2024M02;6.954
Total Nacional;06 Cantabria;;;Viviendas turísticas;2023M08;6.920
Total Nacional;06 Cantabria;;;Viviendas turísticas;2023M02;5.701
Total Nacional;06 Cantabria;;;Viviendas turísticas;2022M08;6.281
Total Nacional;06 Cantabria;;;Viviendas turísticas;2022M02;4.826
Total Nacional;06 Cantabria;;;Viviendas turísticas;2021M08;5.362
Total Nacional;06 Cantabria;;;Viviendas turísticas;2021M02;4.323
Total Nacional;06 Cantabria;;;Viviendas turísticas;2020M08;4.886
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2025M11;6.229
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2025M05;7.698
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2024M11;7.496
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2024M08;8.678
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2024M02;6.954
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2023M08;6.920
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2023M02;5.701
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2022M08;6.281
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2022M02;4.826
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2021M08;5.362
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2021M02;4.323
Total Nacional;06 Cantabria;39 Cantabria;;Viviendas turísticas;2020M08;4.886
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2025M11;4.551
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2025M05;5.224
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2024M11;5.242
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2024M08;5.245
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2024M02;4.603
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2023M08;4.120
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2023M02;3.891
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2022M08;3.655
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2022M02;3.352
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2021M08;3.344
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2021M02;3.191
Total Nacional;08 Castilla - La Mancha;;;Viviendas turísticas;2020M08;3.327
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2025M11;952
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2025M05;1.112
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2024M11;1.096
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2024M08;1.088
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2024M02;955
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2023M08;882
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2023M02;808
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2022M08;722
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2022M02;653
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2021M08;626
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2021M02;602
Total Nacional;08 Castilla - La Mancha;02 Albacete;;Viviendas turísticas;2020M08;587
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2025M11;652
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2025M05;814
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2024M11;844
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2024M08;841
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2024M02;727
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2023M08;641
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2023M02;629
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2022M08;592
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2022M02;539
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2021M08;544
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2021M02;492
Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;;Viviendas turísticas;2020M08;511
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2025M11;872
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2025M05;951
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2024M11;933
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2024M08;970
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2024M02;876
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2023M08;785
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2023M02;749
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2022M08;702
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2022M02;646
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2021M08;679
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2021M02;600
Total Nacional;08 Castilla - La Mancha;16 Cuenca;;Viviendas turísticas;2020M08;643
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2025M11;530
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2025M05;679
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2024M11;683
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2024M08;700
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2024M02;590
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2023M08;522
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2023M02;489
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2022M08;491
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;;Viviendas turísticas;2022M02;469
