Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Viviendas y plazas;Periodo;Total
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2023M02;2.064
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2022M08;2.233
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2022M02;1.673
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2021M08;1.789
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2021M02;1.443
Total Nacional;12 Galicia;27 Lugo;;Viviendas turísticas;2020M08;1.586
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2025M11;981
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2025M05;1.146
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2024M11;1.120
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2024M08;1.160
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2024M02;1.009
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2023M08;924
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2023M02;790
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2022M08;792
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2022M02;671
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2021M08;669
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2021M02;592
Total Nacional;12 Galicia;32 Ourense;;Viviendas turísticas;2020M08;637
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2025M11;6.684
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2025M05;8.985
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2024M11;8.721
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2024M08;9.697
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2024M02;7.792
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2023M08;7.904
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2023M02;6.293
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2022M08;6.832
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2022M02;5.370
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2021M08;5.800
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2021M02;4.827
Total Nacional;12 Galicia;36 Pontevedra;;Viviendas turísticas;2020M08;5.362
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2025M11;15.309
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2025M05;18.555
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2024M11;20.760
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2024M08;22.435
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2024M02;19.456
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2023M08;16.970
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2023M02;16.351
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2022M08;15.763
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2022M02;15.241
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2021M08;17.400
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2021M02;17.802
Total Nacional;13 Madrid, Comunidad de;;;Viviendas turísticas;2020M08;19.597
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2025M11;15.309
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2025M05;18.555
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2024M11;20.760
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2024M08;22.435
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2024M02;19.456
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2023M08;16.970
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2023M02;16.351
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2022M08;15.763
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2022M02;15.241
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2021M08;17.400
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2021M02;17.802
Total Nacional;13 Madrid, Comunidad de;28 Madrid;;Viviendas turísticas;2020M08;19.597
Total Nacional;19 Melilla;;;Viviendas turísticas;2025M11;30
Total Nacional;19 Melilla;;;Viviendas turísticas;2025M05;41
Total Nacional;19 Melilla;;;Viviendas turísticas;2024M11;50
Total Nacional;19 Melilla;;;Viviendas turísticas;2024M08;57
Total Nacional;19 Melilla;;;Viviendas turísticas;2024M02;38
Total Nacional;19 Melilla;;;Viviendas turísticas;2023M08;54
Total Nacional;19 Melilla;;;Viviendas turísticas;2023M02;55
Total Nacional;19 Melilla;;;Viviendas turísticas;2022M08;41
Total Nacional;19 Melilla;;;Viviendas turísticas;2022M02;45
Total Nacional;19 Melilla;;;Viviendas turísticas;2021M08;46
Total Nacional;19 Melilla;;;Viviendas turísticas;2021M02;43
Total Nacional;19 Melilla;;;Viviendas turísticas;2020M08;43
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2025M11;30
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2025M05;41
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2024M11;50
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2024M08;57
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2024M02;38
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2023M08;54
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2023M02;55
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2022M08;41
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2022M02;45
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2021M08;46
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2021M02;43
Total Nacional;19 Melilla;52 Melilla;;Viviendas turísticas;2020M08;43
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2025M11;5.621
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2025M05;7.939
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2024M11;8.406
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2024M08;8.646
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2024M02;7.309
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2023M08;6.952
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2023M02;6.288
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2022M08;6.133
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2022M02;5.554
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2021M08;5.741
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2021M02;5.722
Total Nacional;14 Murcia, Región de;;;Viviendas turísticas;2020M08;6.146
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2025M11;5.621
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2025M05;7.939
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2024M11;8.406
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2024M08;8.646
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2024M02;7.309
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2023M08;6.952
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2023M02;6.288
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2022M08;6.133
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2022M02;5.554
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2021M08;5.741
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2021M02;5.722
Total Nacional;14 Murcia, Región de;30 Murcia;;Viviendas turísticas;2020M08;6.146
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2025M11;1.463
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2025M05;1.672
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2024M11;1.679
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2024M08;1.783
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2024M02;1.583
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2023M08;1.340
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2023M02;1.236
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2022M08;1.225
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2022M02;936
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2021M08;993
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2021M02;993
Total Nacional;15 Navarra, Comunidad Foral de;;;Viviendas turísticas;2020M08;1.071
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2025M11;1.463
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2025M05;1.672
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2024M11;1.679
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2024M08;1.783
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2024M02;1.583
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2023M08;1.340
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2023M02;1.236
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2022M08;1.225
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2022M02;936
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2021M08;993
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2021M02;993
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;;Viviendas turísticas;2020M08;1.071
Total Nacional;16 País Vasco;;;Viviendas turísticas;2025M11;4.783
Total Nacional;16 País Vasco;;;Viviendas turísticas;2025M05;5.467
Total Nacional;16 País Vasco;;;Viviendas turísticas;2024M11;5.473
Total Nacional;16 País Vasco;;;Viviendas turísticas;2024M08;5.828
Total Nacional;16 País Vasco;;;Viviendas turísticas;2024M02;5.140
Total Nacional;16 País Vasco;;;Viviendas turísticas;2023M08;5.121
Total Nacional;16 País Vasco;;;Viviendas turísticas;2023M02;4.353
Total Nacional;16 País Vasco;;;Viviendas turísticas;2022M08;4.693
Total Nacional;16 País Vasco;;;Viviendas turísticas;2022M02;3.995
Total Nacional;16 País Vasco;;;Viviendas turísticas;2021M08;4.354
Total Nacional;16 País Vasco;;;Viviendas turísticas;2021M02;4.016
Total Nacional;16 País Vasco;;;Viviendas turísticas;2020M08;4.598
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2025M11;255
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2025M05;368
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2024M11;389
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2024M08;407
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2024M02;346
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2023M08;320
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2023M02;332
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2022M08;325
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2022M02;279
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2021M08;328
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2021M02;300
Total Nacional;16 País Vasco;01 Araba/Álava;;Viviendas turísticas;2020M08;332
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2025M11;2.546
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2025M05;2.863
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2024M11;2.811
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2024M08;2.947
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2024M02;2.611
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2023M08;2.545
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2023M02;2.064
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2022M08;2.074
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2022M02;1.805
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2021M08;1.928
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2021M02;1.829
Total Nacional;16 País Vasco;48 Bizkaia;;Viviendas turísticas;2020M08;2.025
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2025M11;1.982
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2025M05;2.236
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2024M11;2.273
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2024M08;2.474
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2024M02;2.183
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2023M08;2.256
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2023M02;1.957
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2022M08;2.294
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2022M02;1.911
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2021M08;2.098
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2021M02;1.887
Total Nacional;16 País Vasco;20 Gipuzkoa;;Viviendas turísticas;2020M08;2.241
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2025M11;1.332
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2025M05;1.360
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2024M11;1.380
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2024M08;1.403
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2024M02;1.263
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2023M08;1.228
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2023M02;1.105
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2022M08;1.155
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2022M02;1.050
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2021M08;1.110
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2021M02;1.061
Total Nacional;17 Rioja, La;;;Viviendas turísticas;2020M08;1.139
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2025M11;1.332
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2025M05;1.360
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2024M11;1.380
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2024M08;1.403
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2024M02;1.263
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2023M08;1.228
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2023M02;1.105
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2022M08;1.155
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2022M02;1.050
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2021M08;1.110
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2021M02;1.061
Total Nacional;17 Rioja, La;26 Rioja, La;;Viviendas turísticas;2020M08;1.139
