Periodo,Tipo de vivienda,TOTAL NACIONAL,Andalucía,Almería           ,Cádiz             ,Córdoba           ,Granada           ,Huelva            ,Jaén              ,Málaga            ,Sevilla           ,Aragón,Huesca            ,Teruel            ,Zaragoza          ,Asturias (Ppdo. de ),Balears (Illes),Canarias,Palmas (Las)      ,Santa Cruz de Tenerife,Cantabria,Castilla y León,Avila             ,Burgos            ,León              ,Palencia          ,Salamanca         ,Segovia           ,Soria             ,Valladolid        ,Zamora            ,Castilla-La Mancha,Albacete          ,Ciudad Real       ,Cuenca            ,Guadalajara       ,Toledo            ,Cataluña,Barcelona,Girona,Lleida,Tarragona,Comunitat Valenciana,Alicante/Alacant,Castellón/Castelló,Valencia/València,Extremadura,Badajoz           ,Cáceres           ,Galicia,Coruña (A),Lugo,Ourense,Pontevedra,Madrid (Comunidad de),Murcia (Región de),Navarra (Comunidad Foral de),País Vasco,Araba/Alava,Gipuzkoa,Bizkaia,Rioja (La),Ceuta y Melilla
2021,No principales,8.058.412,1.427.591,149.739,165.188,112.970,214.710,118.717,125.234,341.900,199.133,302.876,82.298,71.327,149.251,230.439,207.826,261.535,116.386,145.149,146.203,806.365,103.527,122.178,155.577,48.509,98.354,64.598,46.827,86.231,80.564,543.937,94.280,119.423,83.522,86.923,159.789,934.676,408.260,206.752,88.670,230.994,1.250.482,591.446,206.255,452.781,263.777,130.921,132.856,663.264,232.047,134.724,134.027,162.466,415.815,295.179,75.382,145.713,23.592,58.890,63.231,80.353,6.999
2022,Total,26.811.833,4.706.234,435.677,651.995,416.211,576.583,321.388,375.224,1.008.302,920.854,846.431,172.728,126.178,547.525,678.652,658.589,1.094.330,554.610,539.720,386.140,1.837.704,172.368,277.284,355.298,116.718,246.706,128.941,85.148,299.397,155.844,1.354.924,242.761,314.947,165.768,189.584,441.864,3.940.622,2.616.924,509.855,257.028,556.815,3.304.752,1.359.031,447.896,1.497.825,701.807,400.356,301.451,1.763.143,689.292,269.607,273.364,530.880,2.998.245,848.361,335.724,1.085.029,169.437,353.947,561.645,212.935,58.211
2022,Principales,18.876.667,3.303.845,281.522,489.623,315.593,366.368,209.060,248.772,665.261,727.646,543.179,93.313,56.772,393.094,447.984,455.286,844.404,437.912,406.492,240.864,1.033.482,70.475,149.310,205.118,69.720,142.160,66.329,37.399,217.861,75.110,814.624,152.187,189.539,82.644,104.392,285.862,3.038.813,2.213.556,309.673,170.619,344.965,2.067.386,774.934,243.307,1.049.145,437.278,268.373,168.905,1.104.860,457.728,131.573,140.610,374.949,2.588.755,565.152,263.718,942.155,141.703,295.395,505.057,134.674,50.208
2022,No principales,7.935.166,1.402.389,154.155,162.372,100.618,210.215,112.328,126.452,343.041,193.208,303.252,79.415,69.406,154.431,230.668,203.303,249.926,116.698,133.228,145.276,804.222,101.893,127.974,150.180,46.998,104.546,62.612,47.749,81.536,80.734,540.300,90.574,125.408,83.124,85.192,156.002,901.809,403.368,200.182,86.409,211.850,1.237.366,584.097,204.589,448.680,264.529,131.983,132.546,658.283,231.564,138.034,132.754,155.931,409.490,283.209,72.006,142.874,27.734,58.552,56.588,78.261,8.003
2023,Total,26.902.443,4.723.558,436.653,654.357,417.455,577.971,322.475,375.809,1.013.066,925.772,848.675,173.091,126.405,549.179,681.370,661.447,1.096.311,555.831,540.480,387.278,1.842.239,172.665,278.020,355.779,116.974,247.199,129.161,85.659,300.805,155.977,1.359.803,243.583,315.693,166.040,191.087,443.400,3.952.332,2.625.945,511.314,257.420,557.653,3.312.411,1.362.460,448.624,1.501.327,703.882,401.462,302.420,1.766.147,690.630,269.873,273.594,532.050,3.016.480,850.906,338.606,1.088.788,170.080,355.542,563.166,213.829,58.381
2023,Principales,19.165.829,3.348.768,282.855,509.591,314.358,374.257,213.923,243.657,697.488,712.639,548.000,98.151,57.571,392.278,451.404,468.464,857.998,444.473,413.525,243.161,1.045.999,70.270,159.146,206.641,69.978,144.740,65.133,39.704,213.812,76.575,824.501,150.833,192.733,85.562,109.727,285.646,3.100.927,2.284.946,300.138,163.981,351.862,2.119.001,797.240,245.640,1.076.121,443.050,269.977,173.073,1.118.629,466.541,138.820,136.336,376.932,2.627.904,570.275,264.765,945.435,145.454,302.001,497.980,136.161,51.387
2023,No principales,7.736.614,1.374.790,153.798,144.766,103.097,203.714,108.552,132.152,315.578,213.133,300.675,74.940,68.834,156.901,229.966,192.983,238.313,111.358,126.955,144.117,796.240,102.395,118.874,149.138,46.996,102.459,64.028,45.955,86.993,79.402,535.302,92.750,122.960,80.478,81.360,157.754,851.405,340.999,211.176,93.439,205.791,1.193.410,565.220,202.984,425.206,260.832,131.485,129.347,647.518,224.089,131.053,137.258,155.118,388.576,280.631,73.841,143.353,24.626,53.541,65.186,77.668,6.994
2024,Total,27.004.765,4.743.909,438.104,656.885,418.859,579.825,323.390,376.455,1.019.512,930.879,851.493,173.655,126.632,551.206,683.732,664.670,1.099.117,556.919,542.198,388.348,1.846.744,172.941,278.832,356.131,117.384,247.798,129.372,86.109,302.076,156.101,1.363.190,244.004,316.226,166.175,192.242,444.543,3.966.398,2.636.393,512.930,257.988,559.087,3.323.852,1.368.460,449.765,1.505.627,705.503,401.691,303.812,1.769.612,692.411,270.038,273.875,533.288,3.037.088,853.362,340.548,1.093.651,171.161,356.935,565.555,214.914,58.634
2024,Principales,19.278.057,3.358.513,282.366,507.797,301.683,375.361,208.321,251.337,688.553,743.095,556.573,99.821,56.822,399.930,446.954,452.361,828.302,441.144,387.158,242.500,1.060.262,73.851,155.363,206.662,72.062,146.691,67.632,39.645,223.127,75.229,844.781,157.053,202.247,81.945,110.660,292.876,3.098.706,2.275.737,299.551,174.973,348.445,2.167.855,789.897,261.308,1.116.650,446.107,267.694,178.413,1.109.406,463.263,136.193,136.734,373.216,2.657.361,572.267,267.276,980.994,147.785,307.325,525.884,138.768,49.071
2024,No principales,7.726.708,1.385.396,155.738,149.088,117.176,204.464,115.069,125.118,330.959,187.784,294.920,73.834,69.810,151.276,236.778,212.309,270.815,115.775,155.040,145.848,786.482,99.090,123.469,149.469,45.322,101.107,61.740,46.464,78.949,80.872,518.409,86.951,113.979,84.230,81.582,151.667,867.692,360.656,213.379,83.015,210.642,1.155.997,578.563,188.457,388.977,259.396,133.997,125.399,660.206,229.148,133.845,137.141,160.072,379.727,281.095,73.272,112.657,23.376,49.610,39.671,76.146,9.563
