Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;04 Balears, Illes;General;Variación trimestral;2023T3;3,1
Nacional;04 Balears, Illes;General;Variación trimestral;2023T2;2,0
Nacional;04 Balears, Illes;General;Variación trimestral;2023T1;0,5
Nacional;04 Balears, Illes;General;Variación trimestral;2022T4;-1,1
Nacional;04 Balears, Illes;General;Variación trimestral;2022T3;1,9
Nacional;04 Balears, Illes;General;Variación trimestral;2022T2;2,9
Nacional;04 Balears, Illes;General;Variación trimestral;2022T1;2,1
Nacional;04 Balears, Illes;General;Variación trimestral;2021T4;1,1
Nacional;04 Balears, Illes;General;Variación trimestral;2021T3;4,3
Nacional;04 Balears, Illes;General;Variación trimestral;2021T2;4,0
Nacional;04 Balears, Illes;General;Variación trimestral;2021T1;-0,1
Nacional;04 Balears, Illes;General;Variación trimestral;2020T4;-1,5
Nacional;04 Balears, Illes;General;Variación trimestral;2020T3;3,2
Nacional;04 Balears, Illes;General;Variación trimestral;2020T2;-0,5
Nacional;04 Balears, Illes;General;Variación trimestral;2020T1;1,2
Nacional;04 Balears, Illes;General;Variación trimestral;2019T4;-0,6
Nacional;04 Balears, Illes;General;Variación trimestral;2019T3;4,5
Nacional;04 Balears, Illes;General;Variación trimestral;2019T2;0,8
Nacional;04 Balears, Illes;General;Variación trimestral;2019T1;0,8
Nacional;05 Canarias;General;Variación trimestral;2025T4;0,6
Nacional;05 Canarias;General;Variación trimestral;2025T3;2,2
Nacional;05 Canarias;General;Variación trimestral;2025T2;3,0
Nacional;05 Canarias;General;Variación trimestral;2025T1;4,8
Nacional;05 Canarias;General;Variación trimestral;2024T4;1,8
Nacional;05 Canarias;General;Variación trimestral;2024T3;1,7
Nacional;05 Canarias;General;Variación trimestral;2024T2;3,7
Nacional;05 Canarias;General;Variación trimestral;2024T1;3,1
Nacional;05 Canarias;General;Variación trimestral;2023T4;-1,4
Nacional;05 Canarias;General;Variación trimestral;2023T3;3,0
Nacional;05 Canarias;General;Variación trimestral;2023T2;1,1
Nacional;05 Canarias;General;Variación trimestral;2023T1;1,9
Nacional;05 Canarias;General;Variación trimestral;2022T4;0,5
Nacional;05 Canarias;General;Variación trimestral;2022T3;1,0
Nacional;05 Canarias;General;Variación trimestral;2022T2;2,0
Nacional;05 Canarias;General;Variación trimestral;2022T1;4,4
Nacional;05 Canarias;General;Variación trimestral;2021T4;0,4
Nacional;05 Canarias;General;Variación trimestral;2021T3;2,3
Nacional;05 Canarias;General;Variación trimestral;2021T2;3,4
Nacional;05 Canarias;General;Variación trimestral;2021T1;1,5
Nacional;05 Canarias;General;Variación trimestral;2020T4;-0,4
Nacional;05 Canarias;General;Variación trimestral;2020T3;1,8
Nacional;05 Canarias;General;Variación trimestral;2020T2;-1,1
Nacional;05 Canarias;General;Variación trimestral;2020T1;0,6
Nacional;05 Canarias;General;Variación trimestral;2019T4;0,2
Nacional;05 Canarias;General;Variación trimestral;2019T3;1,0
Nacional;05 Canarias;General;Variación trimestral;2019T2;0,0
Nacional;05 Canarias;General;Variación trimestral;2019T1;1,8
Nacional;06 Cantabria;General;Variación trimestral;2025T4;2,3
Nacional;06 Cantabria;General;Variación trimestral;2025T3;4,5
Nacional;06 Cantabria;General;Variación trimestral;2025T2;4,0
Nacional;06 Cantabria;General;Variación trimestral;2025T1;2,2
Nacional;06 Cantabria;General;Variación trimestral;2024T4;1,4
Nacional;06 Cantabria;General;Variación trimestral;2024T3;2,9
Nacional;06 Cantabria;General;Variación trimestral;2024T2;3,4
Nacional;06 Cantabria;General;Variación trimestral;2024T1;3,6
Nacional;06 Cantabria;General;Variación trimestral;2023T4;-1,2
Nacional;06 Cantabria;General;Variación trimestral;2023T3;2,7
Nacional;06 Cantabria;General;Variación trimestral;2023T2;1,6
Nacional;06 Cantabria;General;Variación trimestral;2023T1;1,2
Nacional;06 Cantabria;General;Variación trimestral;2022T4;0,3
Nacional;06 Cantabria;General;Variación trimestral;2022T3;1,6
Nacional;06 Cantabria;General;Variación trimestral;2022T2;2,4
Nacional;06 Cantabria;General;Variación trimestral;2022T1;4,1
Nacional;06 Cantabria;General;Variación trimestral;2021T4;1,0
Nacional;06 Cantabria;General;Variación trimestral;2021T3;2,1
Nacional;06 Cantabria;General;Variación trimestral;2021T2;3,4
Nacional;06 Cantabria;General;Variación trimestral;2021T1;1,0
Nacional;06 Cantabria;General;Variación trimestral;2020T4;0,2
Nacional;06 Cantabria;General;Variación trimestral;2020T3;0,6
Nacional;06 Cantabria;General;Variación trimestral;2020T2;0,2
Nacional;06 Cantabria;General;Variación trimestral;2020T1;0,2
Nacional;06 Cantabria;General;Variación trimestral;2019T4;0,4
Nacional;06 Cantabria;General;Variación trimestral;2019T3;0,5
Nacional;06 Cantabria;General;Variación trimestral;2019T2;-0,1
Nacional;06 Cantabria;General;Variación trimestral;2019T1;1,3
Nacional;07 Castilla y León;General;Variación trimestral;2025T4;2,8
Nacional;07 Castilla y León;General;Variación trimestral;2025T3;2,9
Nacional;07 Castilla y León;General;Variación trimestral;2025T2;4,4
Nacional;07 Castilla y León;General;Variación trimestral;2025T1;4,4
Nacional;07 Castilla y León;General;Variación trimestral;2024T4;2,0
Nacional;07 Castilla y León;General;Variación trimestral;2024T3;2,2
Nacional;07 Castilla y León;General;Variación trimestral;2024T2;3,4
Nacional;07 Castilla y León;General;Variación trimestral;2024T1;2,6
Nacional;07 Castilla y León;General;Variación trimestral;2023T4;-0,3
Nacional;07 Castilla y León;General;Variación trimestral;2023T3;1,1
Nacional;07 Castilla y León;General;Variación trimestral;2023T2;2,4
Nacional;07 Castilla y León;General;Variación trimestral;2023T1;0,3
Nacional;07 Castilla y León;General;Variación trimestral;2022T4;-1,3
Nacional;07 Castilla y León;General;Variación trimestral;2022T3;1,5
Nacional;07 Castilla y León;General;Variación trimestral;2022T2;2,1
Nacional;07 Castilla y León;General;Variación trimestral;2022T1;1,8
Nacional;07 Castilla y León;General;Variación trimestral;2021T4;1,0
Nacional;07 Castilla y León;General;Variación trimestral;2021T3;1,4
Nacional;07 Castilla y León;General;Variación trimestral;2021T2;2,9
Nacional;07 Castilla y León;General;Variación trimestral;2021T1;0,0
Nacional;07 Castilla y León;General;Variación trimestral;2020T4;-0,1
Nacional;07 Castilla y León;General;Variación trimestral;2020T3;-0,2
Nacional;07 Castilla y León;General;Variación trimestral;2020T2;2,3
Nacional;07 Castilla y León;General;Variación trimestral;2020T1;-0,6
Nacional;07 Castilla y León;General;Variación trimestral;2019T4;0,8
Nacional;07 Castilla y León;General;Variación trimestral;2019T3;0,5
Nacional;07 Castilla y León;General;Variación trimestral;2019T2;2,2
Nacional;07 Castilla y León;General;Variación trimestral;2019T1;1,4
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2025T4;2,2
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2025T3;2,4
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2025T2;4,1
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2025T1;3,6
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2024T4;1,1
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2024T3;2,1
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2024T2;3,2
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2024T1;2,0
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2023T4;-0,5
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2023T3;0,6
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2023T2;2,9
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2023T1;-0,8
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2022T4;-1,6
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2022T3;1,5
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2022T2;2,5
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2022T1;1,6
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2021T4;0,9
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2021T3;1,0
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2021T2;3,6
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2021T1;-1,4
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2020T4;-0,1
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2020T3;0,4
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2020T2;1,4
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2020T1;-0,5
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2019T4;0,1
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2019T3;0,5
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2019T2;0,9
Nacional;08 Castilla - La Mancha;General;Variación trimestral;2019T1;1,5
Nacional;09 Cataluña;General;Variación trimestral;2025T4;1,5
Nacional;09 Cataluña;General;Variación trimestral;2025T3;2,5
Nacional;09 Cataluña;General;Variación trimestral;2025T2;2,7
Nacional;09 Cataluña;General;Variación trimestral;2025T1;3,7
Nacional;09 Cataluña;General;Variación trimestral;2024T4;1,9
Nacional;09 Cataluña;General;Variación trimestral;2024T3;2,8
Nacional;09 Cataluña;General;Variación trimestral;2024T2;2,8
Nacional;09 Cataluña;General;Variación trimestral;2024T1;2,6
Nacional;09 Cataluña;General;Variación trimestral;2023T4;-1,5
Nacional;09 Cataluña;General;Variación trimestral;2023T3;2,7
Nacional;09 Cataluña;General;Variación trimestral;2023T2;1,8
Nacional;09 Cataluña;General;Variación trimestral;2023T1;0,5
Nacional;09 Cataluña;General;Variación trimestral;2022T4;-1,2
Nacional;09 Cataluña;General;Variación trimestral;2022T3;2,1
Nacional;09 Cataluña;General;Variación trimestral;2022T2;2,0
Nacional;09 Cataluña;General;Variación trimestral;2022T1;2,5
Nacional;09 Cataluña;General;Variación trimestral;2021T4;1,3
Nacional;09 Cataluña;General;Variación trimestral;2021T3;1,3
Nacional;09 Cataluña;General;Variación trimestral;2021T2;2,5
Nacional;09 Cataluña;General;Variación trimestral;2021T1;0,9
Nacional;09 Cataluña;General;Variación trimestral;2020T4;-1,4
Nacional;09 Cataluña;General;Variación trimestral;2020T3;1,2
Nacional;09 Cataluña;General;Variación trimestral;2020T2;0,5
Nacional;09 Cataluña;General;Variación trimestral;2020T1;0,7
Nacional;09 Cataluña;General;Variación trimestral;2019T4;-0,7
Nacional;09 Cataluña;General;Variación trimestral;2019T3;1,8
Nacional;09 Cataluña;General;Variación trimestral;2019T2;1,3
Nacional;09 Cataluña;General;Variación trimestral;2019T1;0,9
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2025T4;2,3
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2025T3;3,3
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2025T2;4,6
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2025T1;2,6
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2024T4;2,1
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2024T3;2,8
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2024T2;4,3
Nacional;10 Comunitat Valenciana;General;Variación trimestral;2024T1;2,5
